22:20:17.730 |I| Core                           | RequestBuilder thread:10       | MsBuild process with Id = 477
22:20:17.734 |I| Core                           | RequestBuilder thread:10       | MsBuild location = /run/host/usr/share/dotnet/sdk/7.0.302/MSBuild.dll
22:20:17.735 |I| Core                           | RequestBuilder thread:10       | ServerGC = False
22:20:17.735 |I| Core                           | RequestBuilder thread:10       | 
22:20:17.735 |I| Core                           | RequestBuilder thread:10       | Start ControllerTask...
22:20:17.737 |I| Core                           | RequestBuilder thread:10       | Detected version: 17.6
22:20:17.739 |I| Core                           | RequestBuilder thread:10       | Creating SocketWire with port = 44783
22:20:17.783 |I| Core                           | RequestBuilder thread:10       | Create protocol...
22:20:17.870 |I| Core                           | RequestBuilder thread:10       | Create MsBuildModel and advise for new sessions...
22:20:17.910 |I| Core                           | RequestBuilder thread:10       | Subscribe for changes...
22:20:17.911 |I| Core                           | RequestBuilder thread:10       | Setup process watchdog...
22:20:17.912 |I| Core                           | RequestBuilder thread:10       | Run dispatcher...
22:20:17.914 |I| ProcessWatchdog                | WatchParentPid:430:15          | Monitoring parent process PID:430
22:20:18.000 |I| Core                           | RequestBuilder thread:10       | Get protocol session 'RdProjectModelSession'
22:20:18.008 |I| Core                           | RequestBuilder thread:10       | Msbuild session 'ProjectModelSessionHost' created
22:20:18.092 |I| ProjectModel                   | RequestBuilder thread:10       | Reloading 30 project(s) in 4 node(s)...
22:20:18.092 |I| ProjectModel                   | RequestBuilder thread:10       | Reason: WarmStartup
22:20:18.098 |I| Build                          | MSBuild LoggingService events queue pump: 28805302:17 | Build started.
22:20:18.103 |I| BuildQueue                     | RequestBuilder thread:10       | Build queue: False
22:20:19.196 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\UnityEditor.UI.csproj
22:20:19.201 |I| Build                          | RequestBuilder thread:10       | Start build 'UnityEditor.UI.csproj' with 1 target frameworks
22:20:19.213 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
22:20:19.219 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\UnityEngine.TestRunner.csproj
22:20:19.219 |I| Build                          | RequestBuilder thread:10       | Start build 'UnityEngine.TestRunner.csproj' with 1 target frameworks
22:20:19.228 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
22:20:19.244 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Assembly-CSharp.csproj
22:20:19.245 |I| Build                          | RequestBuilder thread:10       | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
22:20:19.619 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
