22:22:37.078 |I| Core                           | RequestBuilder thread:10       | MsBuild process with Id = 496
22:22:37.079 |I| Core                           | RequestBuilder thread:10       | MsBuild location = /run/host/usr/share/dotnet/sdk/7.0.302/MSBuild.dll
22:22:37.079 |I| Core                           | RequestBuilder thread:10       | ServerGC = False
22:22:37.079 |I| Core                           | RequestBuilder thread:10       | 
22:22:37.079 |I| Core                           | RequestBuilder thread:10       | Start ControllerTask...
22:22:37.081 |I| Core                           | RequestBuilder thread:10       | Detected version: 17.6
22:22:37.081 |I| Core                           | RequestBuilder thread:10       | Creating SocketWire with port = 37403
22:22:37.094 |I| Core                           | RequestBuilder thread:10       | Create protocol...
22:22:37.126 |I| Core                           | RequestBuilder thread:10       | Create MsBuildModel and advise for new sessions...
22:22:37.163 |I| Core                           | RequestBuilder thread:10       | Subscribe for changes...
22:22:37.164 |I| Core                           | RequestBuilder thread:10       | Setup process watchdog...
22:22:37.207 |I| Core                           | RequestBuilder thread:10       | Run dispatcher...
22:22:37.210 |I| ProcessWatchdog                | WatchParentPid:448:15          | Monitoring parent process PID:448
22:22:37.519 |I| Core                           | RequestBuilder thread:10       | Get protocol session 'RdProjectModelSession'
22:22:37.560 |I| Core                           | RequestBuilder thread:10       | Msbuild session 'ProjectModelSessionHost' created
22:22:37.753 |I| ProjectModel                   | RequestBuilder thread:10       | Reloading 30 project(s) in 4 node(s)...
22:22:37.754 |I| ProjectModel                   | RequestBuilder thread:10       | Reason: WarmStartup
22:22:37.757 |I| Build                          | MSBuild LoggingService events queue pump: 28805302:17 | Build started.
22:22:37.759 |I| BuildQueue                     | RequestBuilder thread:10       | Build queue: False
22:22:38.858 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\UnityEditor.UI.csproj
22:22:38.861 |I| Build                          | RequestBuilder thread:10       | Start build 'UnityEditor.UI.csproj' with 1 target frameworks
22:22:38.867 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
22:22:38.870 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.TextMeshPro.Editor.csproj
22:22:38.870 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.TextMeshPro.Editor.csproj' with 1 target frameworks
22:22:38.873 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
